Element type,Element Label,Size,Unit,Material,Price
accessory,picioare,4,pieces,picioare,5.0
accessory,clema plinta,2.0,pieces,clema plinta,1.4
accessory,surub 3.5x16,16,pieces,surub 3.5x16,0.56
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,0.6,pieces,plinta,8.1228
accessory,sipca apa,0.6,pieces,sipca apa,6.0498
pal,C1.jos,0.3,sheet,Alb W962ST2,22.712
pal,C1.lat,0.362,sheet,Alb W962ST2,22.58468
pal,C1.lat,0.362,sheet,Alb W962ST2,22.58468
pal,C1.leg1,0.0564,sheet,Alb W962ST2,7.02696
pal,C1.leg2,0.0564,sheet,Alb W962ST2,7.02696
pfl,C1.pfl,0.439848,sheet,Alb,9
accessory,surub PFL,18,pieces,surub PFL,0.4662
pal,C1.ser.left,0.0487,sheet,Alb W962ST2,4.452590000000001
pal,C1.ser.front,0.0502,sheet,Alb W962ST2,3.79214
pal,C1.ser.back,0.0502,sheet,Alb W962ST2,3.79214
pal,C1.ser.right,0.0487,sheet,Alb W962ST2,4.452590000000001
pal,C1.ser.f,0.226402,sheet,Alb W962ST2,13.0
accessory,pereche glisiera 450 mm,1,pieces,pereche glisiera 450 mm,19.0
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,surub,8,pieces,surub,1.3736
accessory,surub PFL,20,pieces,surub PFL,0.518
pal,C1.ser.left,0.0487,sheet,Alb W962ST2,4.452590000000001
pal,C1.ser.front,0.0502,sheet,Alb W962ST2,3.79214
pal,C1.ser.back,0.0502,sheet,Alb W962ST2,3.79214
pal,C1.ser.right,0.0487,sheet,Alb W962ST2,4.452590000000001
pal,C1.ser.f,0.226402,sheet,Alb W962ST2,13.0
accessory,pereche glisiera 450 mm,1,pieces,pereche glisiera 450 mm,19.0
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,surub,8,pieces,surub,1.3736
accessory,surub PFL,20,pieces,surub PFL,0.518
pal,C1.ser.left,0.0487,sheet,Alb W962ST2,4.452590000000001
pal,C1.ser.front,0.0502,sheet,Alb W962ST2,3.79214
pal,C1.ser.back,0.0502,sheet,Alb W962ST2,3.79214
pal,C1.ser.right,0.0487,sheet,Alb W962ST2,4.452590000000001
pal,C1.ser.f,0.226402,sheet,Alb W962ST2,13.0
accessory,pereche glisiera 450 mm,1,pieces,pereche glisiera 450 mm,19.0
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,surub,8,pieces,surub,1.3736
accessory,surub PFL,20,pieces,surub PFL,0.518
pal,C1.ser.left,0.0487,sheet,Alb W962ST2,4.452590000000001
pal,C1.ser.front,0.0502,sheet,Alb W962ST2,3.79214
pal,C1.ser.back,0.0502,sheet,Alb W962ST2,3.79214
pal,C1.ser.right,0.0487,sheet,Alb W962ST2,4.452590000000001
pal,C1.ser.f,0.226402,sheet,Alb W962ST2,13.0
