Length;Width;Qty;Label;Enabled
600;500;1;C1.jos;TRUE
724;500;1;C1.lat;TRUE
724;500;1;C1.lat;TRUE
564;100;1;C1.leg1;TRUE
564;100;1;C1.leg2;TRUE
487;100;1;C1.ser.left;TRUE
502;100;1;C1.ser.front;TRUE
502;100;1;C1.ser.back;TRUE
487;100;1;C1.ser.right;TRUE
502;451;1;C1.ser.f;TRUE
487;100;1;C1.ser.left;TRUE
502;100;1;C1.ser.front;TRUE
502;100;1;C1.ser.back;TRUE
487;100;1;C1.ser.right;TRUE
502;451;1;C1.ser.f;TRUE
487;100;1;C1.ser.left;TRUE
502;100;1;C1.ser.front;TRUE
502;100;1;C1.ser.back;TRUE
487;100;1;C1.ser.right;TRUE
502;451;1;C1.ser.f;TRUE
487;100;1;C1.ser.left;TRUE
502;100;1;C1.ser.front;TRUE
502;100;1;C1.ser.back;TRUE
487;100;1;C1.ser.right;TRUE
502;451;1;C1.ser.f;TRUE
850;850;1;C2.jos;TRUE
724;500;1;C2.lat1;TRUE
724;500;1;C2.lat2;TRUE
832;724;1;C2.spate;TRUE
814;100;1;C2.leg;TRUE
814;100;1;C2.leg;TRUE
332;100;1;C2.leg;TRUE
724;200;1;C2.colt1;TRUE
724;200;1;C2.colt2;TRUE
600;500;1;C3.jos;TRUE
724;500;1;C3.lat;TRUE
724;500;1;C3.lat;TRUE
564;100;1;C3.leg1;TRUE
564;100;1;C3.leg2;TRUE
487;100;1;C3.ser.left;TRUE
502;100;1;C3.ser.front;TRUE
502;100;1;C3.ser.back;TRUE
487;100;1;C3.ser.right;TRUE
502;451;1;C3.ser.f;TRUE
564;500;1;C3.sep.h;TRUE
1000;500;1;C5.jos;TRUE
724;500;1;C5.lat;TRUE
724;500;1;C5.lat;TRUE
964;100;1;C5.leg1;TRUE
964;100;1;C5.leg2;TRUE
964;100;1;C5.leg;TRUE
300;500;1;C6.jos;TRUE
724;500;1;C6.lat;TRUE
724;500;1;C6.lat;TRUE
264;100;1;C6.leg1;TRUE
264;100;1;C6.leg2;TRUE
780;400;1;S1.lat1;TRUE
564;399;1;S1.jos;TRUE
780;400;1;S1.lat2;TRUE
564;399;1;S1.sus;TRUE
564;380;1;S1.pol;TRUE
564;380;1;S1.pol;TRUE
780;400;1;S2.lat1;TRUE
264;399;1;S2.jos;TRUE
780;400;1;S2.lat2;TRUE
264;399;1;S2.sus;TRUE
264;380;1;S2.pol;TRUE
264;380;1;S2.pol;TRUE
564;682;1;S3.jos;TRUE
564;682;1;S3.sus;TRUE
564;682;1;S3.pol;TRUE
564;682;1;S3.pol;TRUE
780;682;1;S3.spate;TRUE
780;400;1;S3.lat1;TRUE
780;400;1;S3.lat2;TRUE
744;250;1;S3.colt1;TRUE
744;250;1;S3.colt1;TRUE
780;400;1;S4.lat1;TRUE
176;399;1;S4.jos;TRUE
780;400;1;S4.lat2;TRUE
176;399;1;S4.sus;TRUE
176;380;1;S4.pol;TRUE
176;380;1;S4.pol;TRUE
176;380;1;S4.pol;TRUE
780;400;1;S5.lat1;TRUE
564;399;1;S5.jos;TRUE
780;400;1;S5.lat2;TRUE
564;399;1;S5.sus;TRUE
564;380;1;S5.pol;TRUE
564;380;1;S5.pol;TRUE
