Bucati,Lungime,Latime,Orientabila,Eticheta,L1,L2,l1,l2
1,2500,550,0,T1.lat1,1,,1,1
1,2500,550,0,T1.lat2,1,,1,1
1,664,550,0,T1.jos,1,,,
1,664,550,0,T1.sus,1,,,
1,664,550,0,T1.sep.h,,,,
1,664,530,0,T1_sep_h664,2,,,
1,664,530,0,T1_sep_h664,2,,,
1,664,530,0,T1_sep_h664,2,,,
1,664,530,0,T1_sep_h664,2,,,
1,664,530,0,T1_sep_h664,2,,,
1,2500,550,0,T2.lat1,1,,1,1
1,2500,550,0,T2.lat2,1,,1,1
1,664,550,0,T2.jos,1,,,
1,664,550,0,T2.sus,1,,,
1,664,550,0,T2.sep.h,,,,
1,664,530,0,T2_sep_h664,2,,,
1,664,530,0,T2_sep_h664,2,,,
1,664,530,0,T2_sep_h664,2,,,
1,664,530,0,T2_sep_h664,2,,,
1,664,530,0,T2_sep_h664,2,,,
1,2500,550,0,T3.lat1,1,,1,1
1,2500,550,0,T3.lat2,1,,1,1
1,664,550,0,T3.jos,1,,,
1,664,550,0,T3.sus,1,,,
1,638,200,0,T3.ser.front,1,1,1,1
1,501,200,0,T3.ser.long,1,1,,
1,501,200,0,T3.ser.right,1,1,,
1,638,200,0,T3.ser.back,1,1,1,1
1,602,501,0,T3.ser.f,,,,
1,638,200,0,T3.ser.front,1,1,1,1
1,501,200,0,T3.ser.long,1,1,,
1,501,200,0,T3.ser.right,1,1,,
1,638,200,0,T3.ser.back,1,1,1,1
1,602,501,0,T3.ser.f,,,,
1,664,550,0,T3.sep.h,,,,
1,2500,550,0,T4.lat1,1,,1,1
1,2500,550,0,T4.lat2,1,,1,1
1,664,550,0,T4.jos,1,,,
1,664,550,0,T4.sus,1,,,
1,638,200,0,T4.ser.front,1,1,1,1
1,501,200,0,T4.ser.long,1,1,,
1,501,200,0,T4.ser.right,1,1,,
1,638,200,0,T4.ser.back,1,1,1,1
1,602,501,0,T4.ser.f,,,,
1,638,200,0,T4.ser.front,1,1,1,1
1,501,200,0,T4.ser.long,1,1,,
1,501,200,0,T4.ser.right,1,1,,
1,638,200,0,T4.ser.back,1,1,1,1
1,602,501,0,T4.ser.f,,,,
1,664,550,0,T4.sep.h,,,,
1,964,932,0,T5.jos,,,,
1,964,932,0,T5.sus,,,,
1,964,932,0,T5.pol,,,,
1,964,932,0,T5.pol,,,,
1,964,932,0,T5.pol,,,,
1,964,932,0,T5.pol,,,,
1,964,932,0,T5.pol,,,,
1,964,932,0,T5.pol,,,,
1,964,932,0,T5.pol,,,,
1,2500,932,0,T5.spate,,,,
1,2500,500,0,T5.lat1,1,,1,1
1,2500,550,0,T5.lat2,1,,1,1
1,2500,500,0,T6.lat1,1,,1,1
1,2500,500,0,T6.lat2,1,,1,1
1,1464,500,0,T6.jos,1,,,
1,1464,500,0,T6.sus,1,,,
1,1464,480,0,T6.pol,1,,,
1,1464,480,0,T6.pol,1,,,
